Station_ID,Site_Name,Sample_Collection_Month,Sample_Collection_Year,Sample_Type,Matrix,Arsenic,Cadmium,Chromium,Copper,Iron,Manganese,Nickel,RC_Flag_Nickel,Flag_Nickel,Lead,Zinc,Notes_from_laboratory
12340000,"Blackfoot River near Bonner, MT",July,2021,Regular,Sediment,7.72,0.13,24.1,23.3,19977,500,13,NA,NA,13,63.1,NA
12340000,"Blackfoot River near Bonner, MT",July,2021,Regular,Sediment,6.64,0.2,22.3,22.3,19226,376,12.6,NA,NA,13.1,60.2,NA
12340000,"Blackfoot River near Bonner, MT",July,2021,Duplicate,Sediment,6.94,0.23,26.1,22.8,19990,378,12.8,NA,NA,12.7,60.5,NA
12334550,"Clark Fork at Turah Bridge near Bonner, MT",July,2021,Regular,Sediment,18.1,1.6,22.5,212,16638,647,10.8,NA,NA,46.2,521,NA
12334550,"Clark Fork at Turah Bridge near Bonner, MT",July,2021,Regular,Sediment,25.2,1.46,18.7,213,15796,1103,10.7,NA,NA,45.7,534,NA
12334550,"Clark Fork at Turah Bridge near Bonner, MT",July,2021,Regular,Sediment,30,1.83,23.1,254,18613,1272,12.7,NA,NA,58.2,608,NA
12334550,"Clark Fork at Turah Bridge near Bonner, MT",July,2021,Duplicate,Sediment,31,2.08,23.4,254,18896,1277,12.8,NA,NA,59.3,611,NA
12340500,"Clark Fork above Missoula, MT",July,2021,Regular,Sediment,14.4,1.31,25.9,130,20358,995,13.4,NA,NA,32.2,373,vial for AM-2 sample broke during processing
12340500,"Clark Fork above Missoula, MT",July,2021,Regular,Sediment,11.4,0.85,24.9,105,19936,539,12.9,NA,NA,27.8,279,NA
12340500,"Clark Fork above Missoula, MT",July,2021,Duplicate,Sediment,12,0.74,25.2,106,20173,538,12.9,NA,NA,28.4,279,NA
