Station_ID,Site_Name,Date ,Time,Time_Zone,Sample_Type,Temperature_Water,Specific_Conductance,pH,Nitrate_plus_nitrite,RC_Organic_Carbon,Organic_Carbon,RC_Calcium_wf,Calcium_wf,RC_Magnesium_wf,Magnesium_wf,RC_Sodium_wf,Sodium_wf,RC_Potassium_wf,Potassium_wf,Chloride_wf,RC_Sulfate_wf,Sulfate_wf,RC_Fluoride_wf,Fluoride_wf,RC_Silica_wf,Silica_wf,RC_Arsenic_wf,Arsenic_wf,RC_Arsenic_wu,Arsenic_wu,RC_Cadmium_wf,Cadmium_wf,RC_Cadmium_wu,Cadmium_wu,RC_Copper_wf,Copper_wf,RC_Copper_wu,Copper_wu,RC_Iron_wu,Iron_wu,RC_Iron_wf,Iron_wf,RC_Lead_wf,Lead_wf,RC_Lead_wu,Lead_wu,RC_Manganese_wu,Manganese_wu,RC_Manganese_wf,Manganese_wf,RC_Zinc_wf,Zinc_wf,RC_Zinc_wu,Zinc_wu,RC_Alkalinity_lab,Alkalinity_lab,RC_Turbidity_lab,Turbidity_lab,Suspended_Sediment_percent_finer_than_0.0625_mm,RC_Suspended_Sediment_Concentration,Suspended_Sediment_Concentration
12324680,"Clark Fork at Goldcreek, MT",7/14/2021,13:45,MDT,Environmental,21.1,400,8.64,NA,NA,NA,NA,55.7,NA,12.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.8,NA,10.1,NA,0.04,NA,0.06,NA,4.98,NA,7.93,NA,105,NA,10.6,NA,0.09,NA,0.65,NA,39.6,NA,15.2,NA,2.17,NA,5.53,NA,NA,NA,NA,91,NA,4
12324680,"Clark Fork at Goldcreek, MT",8/18/2021,13:45,MDT,Environmental,13.4,454,8.35,NA,NA,NA,NA,63.4,NA,14.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.73,NA,9.55,NA,0.05,NA,0.06,NA,5.41,NA,8.13,NA,90.5,NA,13.1,NA,0.07,NA,0.53,NA,43.4,NA,9.7,NA,2.13,NA,5.83,NA,NA,NA,NA,NA,NA,NA
12331800,"Clark Fork near Drummond, MT",10/15/2020,13:15,MDT,Environmental,7.7,458,8.25,NA,NA,NA,NA,56.8,NA,13.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.34,NA,9.28,NA,0.04,NA,0.11,NA,2.72,NA,13.4,NA,340,<,5,NA,0.05,NA,2.61,NA,74.4,NA,13.4,NA,3.33,NA,22.1,NA,NA,NA,NA,78,NA,19
12331800,"Clark Fork near Drummond, MT",3/24/2021,13:15,MDT,Environmental,5.2,452,8.14,NA,NA,NA,NA,60,NA,13.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.71,NA,9.98,NA,0.07,NA,0.15,NA,4.21,NA,20.8,NA,609,NA,15.5,NA,0.12,NA,3.62,NA,96.4,NA,25.5,NA,5.39,NA,29.5,NA,NA,NA,NA,76,NA,30
12331800,"Clark Fork near Drummond, MT",4/14/2021,13:50,MDT,Environmental,4.4,436,8.25,NA,NA,NA,NA,55.7,NA,12.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.74,NA,7.84,NA,0.08,NA,0.12,NA,2.77,NA,15.3,NA,443,NA,9.81,NA,0.06,NA,2.5,NA,72.9,NA,21.3,NA,4.41,NA,21.4,NA,NA,NA,NA,79,NA,19
12331800,"Clark Fork near Drummond, MT",5/6/2021,13:30,MDT,Environmental,12.5,359,8.33,NA,NA,NA,NA,46.6,NA,10.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.56,NA,9.51,NA,0.07,NA,0.16,NA,4.18,NA,21.2,NA,694,NA,22.4,NA,0.13,NA,4,NA,104,NA,11.3,NA,2.79,NA,28.8,NA,NA,NA,NA,75,NA,35
12331800,"Clark Fork near Drummond, MT",5/19/2021,15:00,MDT,Environmental,11.2,323,8.25,NA,NA,NA,NA,43,NA,9.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.35,NA,9.67,NA,0.04,NA,0.15,NA,4.66,NA,22.5,NA,643,NA,18.7,NA,0.12,NA,4.09,NA,94.3,NA,11.9,NA,2.96,NA,26.3,NA,NA,NA,NA,84,NA,31
12331800,"Clark Fork near Drummond, MT",6/9/2021,15:10,MDT,Field Blank,NA,2,5.52,NA,NA,NA,<,0.02,<,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,<,0.1,<,0.1,<,0.03,<,0.03,<,0.4,<,0.4,<,5,<,5,<,0.02,<,0.06,<,0.4,<,0.4,<,2,<,2,NA,NA,NA,NA,NA,NA,NA
12331800,"Clark Fork near Drummond, MT",6/9/2021,15:15,MDT,Environmental,16.6,332,8.42,NA,NA,NA,NA,42,NA,8.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.59,NA,12.1,NA,0.05,NA,0.2,NA,5.72,NA,32,NA,688,NA,14.1,NA,0.14,NA,4.65,NA,90.9,NA,12.7,NA,3.08,NA,33.7,NA,NA,NA,NA,71,NA,39
12331800,"Clark Fork near Drummond, MT",7/14/2021,12:45,MDT,Environmental,20.8,482,8.62,NA,NA,NA,NA,67.9,NA,17.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.4,NA,11,<,0.03,NA,0.04,NA,4.89,NA,7.5,NA,70.2,NA,5.88,NA,0.07,NA,0.49,NA,30.4,NA,13.3,<,2,NA,5.71,NA,NA,NA,NA,73,NA,17
